State,Constituency,Work Category,Work ID A,Description A,MP A,Work ID B,Description B,MP B,Similarity,Match Strength
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP187/2023-2024/1566,HIGH MASK LED STREET LIGHT ( 6 LED LIGHTS),Shri Javed Ali Khan (2022-28),WS/MP187/2023-2024/1419,High Mask LED Street Light ( 6 Lights),Shri Javed Ali Khan (2022-28),96.8,Very High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP202/2023-2024/17117,Block Sujanganj Gram Gopalpur Me Durga Ji Mandir Ke Pass 18 Watt LED Wali Solar Light ka Karya,Smt. Seema Dwivedi (2020-26),WS/MP202/2023-2024/17116,Block Sujanganj Gram Gopalpur Me Shankar Ji Mandir Ke Pass 18 Watt LED Wali Solar Light ka Karya,Smt. Seema Dwivedi (2020-26),92.6,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP195/2023-2024/23158,High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W,Shri B.L. Verma (2020-26),WS/MP195/2024-2025/144399,"S.N0-1,High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),92.6,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP195/2023-2024/23158,High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W,Shri B.L. Verma (2020-26),WS/MP195/2024-2025/144400,"S.N0-2, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),92.6,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP195/2023-2024/23158,High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W,Shri B.L. Verma (2020-26),WS/MP195/2024-2025/144401,"S.N0-3, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),92.6,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP195/2023-2024/23158,High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W,Shri B.L. Verma (2020-26),WS/MP195/2024-2025/144402,"S.N0-4, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),92.6,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP195/2023-2024/23158,High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W,Shri B.L. Verma (2020-26),WS/MP195/2024-2025/144403,"S.N0-7, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),92.6,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP195/2023-2024/23158,High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W,Shri B.L. Verma (2020-26),WS/MP195/2024-2025/144406,"S.N0-5, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),92.6,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP195/2023-2024/23158,High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W,Shri B.L. Verma (2020-26),WS/MP195/2024-2025/144407,"S.N0-6, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),92.6,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP203/2023-2024/69443,New Electric Transformer Installation and electrification work,Smt. Darshana Singh (2022-28),WS/MP203/2023-2024/30453,New Electric transformer installation & Electrification.,Smt. Darshana Singh (2022-28),95.3,Very High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2023-2024/60004,Multi purpose waiting hall i.e for passengers and police personnel etc,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2023-2024/60000,"Multi purpose waiting hall i.e for passengers,police personnel etc",Smt. Geeta alias Chandraprabha (2020-26),98.2,Extremely High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2023-2024/60007,Multi purpose waiting hall for passengers and police personnel etc,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2023-2024/60000,"Multi purpose waiting hall i.e for passengers,police personnel etc",Smt. Geeta alias Chandraprabha (2020-26),96.4,Very High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2023-2024/60007,Multi purpose waiting hall for passengers and police personnel etc,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2023-2024/60004,Multi purpose waiting hall i.e for passengers and police personnel etc,Smt. Geeta alias Chandraprabha (2020-26),98.2,Extremely High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2023-2024/60012,Multi purpose waiting hall for passengers and police personnel,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2023-2024/60007,Multi purpose waiting hall for passengers and police personnel etc,Smt. Geeta alias Chandraprabha (2020-26),93.1,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2023-2024/61128,Installation of high mast light with 12.5 meter pole and 6 lights of 200 watt each,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2023-2024/60035,"Installation of high mast light with 12.5 mtr pole, and 6 lights of 200 watt each",Smt. Geeta alias Chandraprabha (2020-26),92.6,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2023-2024/60036,Installation of high mast light with 12.5 meter pole and 6 lights 200 watt each,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2023-2024/61128,Installation of high mast light with 12.5 meter pole and 6 lights of 200 watt each,Smt. Geeta alias Chandraprabha (2020-26),98.9,Extremely High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2023-2024/62241,Installation of high mast light with 12.5 meter pole 6 lights of 200 watt each,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2023-2024/60036,Installation of high mast light with 12.5 meter pole and 6 lights 200 watt each,Smt. Geeta alias Chandraprabha (2020-26),97.3,Very High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2023-2024/62241,Installation of high mast light with 12.5 meter pole 6 lights of 200 watt each,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2023-2024/61128,Installation of high mast light with 12.5 meter pole and 6 lights of 200 watt each,Smt. Geeta alias Chandraprabha (2020-26),98.5,Extremely High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2023-2024/61434,Solar light 30 wat At 15 places listed in the attachment Amount: 15*50000= 750000,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2023-2024/61440,Solar light 30 watt At 15 places listed in the attachment Amount 15*50000=750000,Smt. Geeta alias Chandraprabha (2020-26),93.0,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2023-2024/62110,Solar lights 30 watt at 3 places,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2023-2024/62099,Solar lights 30 watt at 9 places,Smt. Geeta alias Chandraprabha (2020-26),98.1,Extremely High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2023-2024/62201,Solar lights 30 watt at 8 places,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2023-2024/62099,Solar lights 30 watt at 9 places,Smt. Geeta alias Chandraprabha (2020-26),98.1,Extremely High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2023-2024/62106,Solar lights 30 watt at 18 places,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2023-2024/62201,Solar lights 30 watt at 8 places,Smt. Geeta alias Chandraprabha (2020-26),92.4,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2023-2024/62112,Solar lights 30 watt at 13 places,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2023-2024/62110,Solar lights 30 watt at 3 places,Smt. Geeta alias Chandraprabha (2020-26),92.4,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2023-2024/62110,Solar lights 30 watt at 3 places,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2023-2024/62201,Solar lights 30 watt at 8 places,Smt. Geeta alias Chandraprabha (2020-26),98.1,Extremely High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP192/2023-2024/81624,"Lighting of public spaces.(Eight light wali) , kasba Jewar me Khurja Jewar Road ke samne yatri shed ke pass. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr Contact-MLA Dhirendra Singh-9412225444",Shri Surendra Singh Nagar (2022-28),WS/MP192/2023-2024/81623,"Lighting of public spaces.(Eight light wali) , kasba Jewar me tahsil ke samne yatri shed ke pass. Working Agency- Provincial Co-Operative Construction And Development LTD Bulandshahr Contact-MLA Dhirendra Singh-9412225444",Shri Surendra Singh Nagar (2022-28),93.0,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP847/2024-2025/157758,"300 mtr CC road bnaye jane hetu Karyadayi Sanstha- Gramin Abhiyantran Vibhag (RED) Hamirpur, U.P",Shri Baburam Nishad (2022-28),WS/MP847/2024-2025/89994,"600 mtr CC road bnaye jane hetu Karyadayi Sanstha- Gramin Abhiyantran Vibhag (RED) Hamirpur, U.P",Shri Baburam Nishad (2022-28),94.0,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP847/2024-2025/157756,"3. 200 mtr CC Road Bnaye Jane hetu Karyadayi Sanstha- Gramin Abhiyantran Vibhag (RED) Hamirpur, U.P.",Shri Baburam Nishad (2022-28),WS/MP847/2024-2025/89994,"600 mtr CC road bnaye jane hetu Karyadayi Sanstha- Gramin Abhiyantran Vibhag (RED) Hamirpur, U.P",Shri Baburam Nishad (2022-28),93.4,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP203/2024-2025/140391,Please see attached document.,Smt. Darshana Singh (2022-28),WS/MP203/2023-2024/107448,Please see the attached document.,Smt. Darshana Singh (2022-28),96.0,Very High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2024-2025/136083,15 solar lights at different public places Amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2024-2025/139725,7 solar lights at different public places amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),94.6,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2024-2025/136083,15 solar lights at different public places Amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2024-2025/137713,Solar lights at different public places amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),94.6,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2024-2025/136084,Solar lights at 15 different public places Amount: 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2024-2025/137713,Solar lights at different public places amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),94.6,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2024-2025/139725,7 solar lights at different public places amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2024-2025/136084,Solar lights at 15 different public places Amount: 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),93.7,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2024-2025/136083,15 solar lights at different public places Amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2024-2025/136084,Solar lights at 15 different public places Amount: 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),97.2,Very High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2024-2025/136085,17 solar lights at different public places amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2024-2025/139725,7 solar lights at different public places amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),95.5,Very High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2024-2025/136085,17 solar lights at different public places amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2024-2025/137713,Solar lights at different public places amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),94.6,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2024-2025/136089,15 solar lights at different places amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2024-2025/136083,15 solar lights at different public places Amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),92.6,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2024-2025/136101,14 solar lights at different public places amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2024-2025/139725,7 solar lights at different public places amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),94.6,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2024-2025/136101,14 solar lights at different public places amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2024-2025/137713,Solar lights at different public places amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),94.6,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2024-2025/136150,13 solar lights at different public places amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2024-2025/139725,7 solar lights at different public places amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),94.6,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2024-2025/136150,13 solar lights at different public places amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2024-2025/137713,Solar lights at different public places amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),94.6,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2024-2025/136153,19 Solar lights at different public places amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2024-2025/139725,7 solar lights at different public places amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),94.6,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2024-2025/136153,19 Solar lights at different public places amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2024-2025/137713,Solar lights at different public places amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),94.6,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2024-2025/136154,18 solar lights at different public places amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2024-2025/139725,7 solar lights at different public places amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),94.6,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2024-2025/136154,18 solar lights at different public places amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2024-2025/137713,Solar lights at different public places amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),94.6,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2024-2025/136173,2 high mast light at different public places amount 280000 per light,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2024-2025/136172,3 high mast light at different public places Amount 280000 per light,Smt. Geeta alias Chandraprabha (2020-26),99.1,Extremely High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP847/2025-2026/137931,"LED SEMI HIGH MAST LIGHT (6 LED) WITH 150 WATT, 9.5 METER POLE",Shri Baburam Nishad (2022-28),WS/MP847/2025-2026/137393,"LED SEMI HIGH MAST LIGHT (6 LED) WITH 150 WATT, 9 METER POLE",Shri Baburam Nishad (2022-28),99.0,Extremely High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP847/2026-2027/230959,"Led Semi High Mast Light (06 LED) with 150-watt, 09 meter pole",Shri Baburam Nishad (2022-28),WS/MP847/2025-2026/137393,"LED SEMI HIGH MAST LIGHT (6 LED) WITH 150 WATT, 9 METER POLE",Shri Baburam Nishad (2022-28),92.3,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP847/2025-2026/194501,"Led Semi High Mast Light 6 LED with 150 Watt, (.5 meter pole",Shri Baburam Nishad (2022-28),WS/MP847/2025-2026/137393,"LED SEMI HIGH MAST LIGHT (6 LED) WITH 150 WATT, 9 METER POLE",Shri Baburam Nishad (2022-28),98.9,Extremely High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP847/2025-2026/137393,"LED SEMI HIGH MAST LIGHT (6 LED) WITH 150 WATT, 9 METER POLE",Shri Baburam Nishad (2022-28),WS/MP847/2025-2026/160270,"Led Semi High Mast Light (6LED) with 150-watt, 9.5-meter pole",Shri Baburam Nishad (2022-28),94.8,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2024-2025/139725,7 solar lights at different public places amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2024-2025/137713,Solar lights at different public places amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),99.0,Extremely High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2024-2025/139721,12 solar lights at different public places amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2024-2025/137713,Solar lights at different public places amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),94.6,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2024-2025/137723,High mast light at different public places with 9 meter pole and 6 lights 280000 per light,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2024-2025/137724,High mast light at different public places with 9 meter pole and 6 lights Amount 280000 per light,Smt. Geeta alias Chandraprabha (2020-26),94.7,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP847/2025-2026/137931,"LED SEMI HIGH MAST LIGHT (6 LED) WITH 150 WATT, 9.5 METER POLE",Shri Baburam Nishad (2022-28),WS/MP847/2025-2026/160270,"Led Semi High Mast Light (6LED) with 150-watt, 9.5-meter pole",Shri Baburam Nishad (2022-28),95.9,Very High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP847/2025-2026/194501,"Led Semi High Mast Light 6 LED with 150 Watt, (.5 meter pole",Shri Baburam Nishad (2022-28),WS/MP847/2025-2026/137931,"LED SEMI HIGH MAST LIGHT (6 LED) WITH 150 WATT, 9.5 METER POLE",Shri Baburam Nishad (2022-28),99.0,Extremely High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP202/2024-2025/138316,Prathmik Vidhyalay Kundaha Sujanganj Me Multi Open Fitness Gym Upkaran Ka Adhishthpan Karya,Smt. Seema Dwivedi (2020-26),WS/MP202/2024-2025/138510,Prathmik Vidhyalay Kushmaul Sujanganj Me Multi Open Fitness Gym Upkaran Ka Adhishthpan Karya,Smt. Seema Dwivedi (2020-26),92.0,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP202/2024-2025/138321,Prathmik Vidhyalay Haripur Sujanganj Me Multi Open Fitness Gym Upkaran Ka Adhishthpan Karya,Smt. Seema Dwivedi (2020-26),WS/MP202/2024-2025/138511,Prathmik Vidhyalay Sachipuram Sujanganj Me Multi Open Fitness Gym Upkaran Ka Adhishthpan Karya,Smt. Seema Dwivedi (2020-26),92.0,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP849/2024-2025/139721,12 solar lights at different public places amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),WS/MP849/2024-2025/139725,7 solar lights at different public places amount 50000 per light,Smt. Geeta alias Chandraprabha (2020-26),94.6,High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP190/2025-2026/239049,Installation of 5 LED Highmast Lights for Rural and Urban areas as per enclosed List.,Shri Mithlesh Kumar (2022-28),WS/MP190/2024-2025/144137,Installation of 73 LED Highmast Lights for Rural and Urban areas as per enclosed List.,Shri Mithlesh Kumar (2022-28),95.3,Very High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP195/2024-2025/144399,"S.N0-1,High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),WS/MP195/2024-2025/144404,"S.N0-11, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),95.9,Very High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP195/2024-2025/144399,"S.N0-1,High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),WS/MP195/2024-2025/144405,"S.N0-12, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),95.9,Very High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP195/2024-2025/144399,"S.N0-1,High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),WS/MP195/2024-2025/144408,"S.N0-13, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),95.9,Very High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP195/2024-2025/144399,"S.N0-1,High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),WS/MP195/2024-2025/144409,"S.N0-14, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),95.9,Very High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP195/2024-2025/144399,"S.N0-1,High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),WS/MP195/2024-2025/144400,"S.N0-2, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),99.1,Extremely High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP195/2024-2025/144399,"S.N0-1,High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),WS/MP195/2024-2025/144401,"S.N0-3, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),99.1,Extremely High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP195/2024-2025/144399,"S.N0-1,High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),WS/MP195/2024-2025/144402,"S.N0-4, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),99.1,Extremely High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP195/2024-2025/144399,"S.N0-1,High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),WS/MP195/2024-2025/144403,"S.N0-7, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),99.1,Extremely High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP195/2024-2025/144399,"S.N0-1,High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),WS/MP195/2024-2025/144406,"S.N0-5, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),99.1,Extremely High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP195/2024-2025/144405,"S.N0-12, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),WS/MP195/2024-2025/144400,"S.N0-2, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),95.9,Very High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP195/2024-2025/144400,"S.N0-2, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),WS/MP195/2024-2025/144401,"S.N0-3, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),99.1,Extremely High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP195/2024-2025/144400,"S.N0-2, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),WS/MP195/2024-2025/144402,"S.N0-4, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),99.1,Extremely High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP195/2024-2025/144400,"S.N0-2, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),WS/MP195/2024-2025/144403,"S.N0-7, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),99.1,Extremely High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP195/2024-2025/144400,"S.N0-2, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),WS/MP195/2024-2025/144406,"S.N0-5, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),99.1,Extremely High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP195/2024-2025/144400,"S.N0-2, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),WS/MP195/2024-2025/144407,"S.N0-6, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),99.1,Extremely High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP195/2024-2025/144404,"S.N0-11, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),WS/MP195/2024-2025/144400,"S.N0-2, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),95.0,Very High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP195/2024-2025/144408,"S.N0-13, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),WS/MP195/2024-2025/144400,"S.N0-2, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),95.0,Very High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP195/2024-2025/144408,"S.N0-13, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),WS/MP195/2024-2025/144401,"S.N0-3, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),95.9,Very High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP195/2024-2025/144401,"S.N0-3, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),WS/MP195/2024-2025/144402,"S.N0-4, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),99.1,Extremely High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP195/2024-2025/144401,"S.N0-3, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),WS/MP195/2024-2025/144403,"S.N0-7, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),99.1,Extremely High
Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP195/2024-2025/144401,"S.N0-3, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),WS/MP195/2024-2025/144406,"S.N0-5, High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)",Shri B.L. Verma (2020-26),99.1,Extremely High
